ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Label,Project,ProjectFile,ProjectName,EntryDate,Comment,Link
v_adnyamathanhaadny1235,Adnyamathanha,adny1235,Adnyamathanha,adt,Australia,-30.1451,138.671,Pama-Nyungan,Adnyamathanha_adny1235,varikin,Adnyamathanha_adny1235.txt,,NA,,NA
v_aghulaghu1253,Aghul,aghu1253,Aghul,agx,Eurasia,41.9242,47.5843,Nakh-Daghestanian,Aghul_aghu1253,varikin,Aghul_aghu1253.txt,,NA,,NA
v_aguarunaagua1253,Aguaruna,agua1253,Aguaruna,agr,South America,-5.30044,-77.9218,,Aguaruna_agua1253,varikin,Aguaruna_agua1253.txt,,NA,,NA
v_akhvakhnorthernakhvakhakhv1239,Akhvakh,akhv1239,Akhvakh,akv,Eurasia,42.4003,46.3037,Nakh-Daghestanian,Akhvakh_Northern_Akhvakh__akhv1239,varikin,Akhvakh_Northern_Akhvakh__akhv1239.txt,,NA,,NA
v_akkadianakka1240,Akkadian,akka1240,Akkadian,akk,Eurasia,33.1,44.1,Afro-Asiatic,Akkadian_akka1240,varikin,Akkadian_akka1240.txt,,NA,,NA
v_albanianalba1267,Albanian,alba1267,Albanian,sqi,Eurasia,NA,NA,Indo-European,Albanian_alba1267,varikin,Albanian_alba1267.txt,,NA,,NA
v_albaniantosktosk1239,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,als,Eurasia,41,20,Indo-European,Albanian_Tosk__tosk1239,varikin,Albanian_Tosk__tosk1239.txt,,NA,,NA
v_alyawarralya1239,Alyawarr,alya1239,Alyawarr,aly,Australia,-21.0427,136.835,Pama-Nyungan,Alyawarr_alya1239,varikin,Alyawarr_alya1239.txt,,NA,,NA
v_amharicamha1245,Amharic,amha1245,Amharic,amh,Africa,11.708182,39.543456,Afro-Asiatic,Amharic_amha1245,varikin,Amharic_amha1245.txt,,NA,,NA
v_amisamis1246,Amis,amis1246,Amis,ami,Papunesia,23.0917,121.348,Austronesian,Amis_amis1246,varikin,Amis_amis1246.txt,,NA,,NA
v_ancientgreekanci1242,Ancient Greek,anci1242,Ancient Greek,grc,Eurasia,39.8155,21.9129,Indo-European,Ancient_Greek_anci1242,varikin,Ancient_Greek_anci1242.txt,,NA,,NA
v_andiandi1255,Andi,andi1255,Andi,ani,Eurasia,42.8078,46.2919,Nakh-Daghestanian,Andi_andi1255,varikin,Andi_andi1255.txt,,NA,,NA
v_angaiteanga1316,Angaité,anga1316,Angaité,aqt,South America,-22.85,-58.45,,Angaite_anga1316,varikin,Angaite_anga1316.txt,,NA,,NA
v_arabanaarab1267,Arabana,arab1267,Arabana,ard,Australia,-28.705,135.449,Pama-Nyungan,Arabana_arab1267,varikin,Arabana_arab1267.txt,,NA,,NA
v_archiarch1244,Archi,arch1244,Archi,aqc,Eurasia,42.3239,46.8267,Nakh-Daghestanian,Archi_arch1244,varikin,Archi_arch1244.txt,,NA,,NA
v_arizonayaquiyaqu1251a,Yaqui,yaqu1251,Yaqui,yaq,North America,29.9446,-110.681,Uto-Aztecan,Arizona_Yaqui_yaqu1251a,varikin,Arizona_Yaqui_yaqu1251a.txt,,NA,,NA
v_armeniannucl1235,Eastern Armenian,nucl1235,Eastern Armenian,hye,Eurasia,40,45,Indo-European,Armenian_nucl1235,varikin,Armenian_nucl1235.txt,,NA,,NA
v_assameseassa1263,Assamese,assa1263,Assamese,asm,Eurasia,26.0876,91.2932,Indo-European,Assamese_assa1263,varikin,Assamese_assa1263.txt,,NA,,NA
v_asutanzaniaasut1235,Asu (Tanzania),asut1235,Asu (Tanzania),asa,Africa,-4.17978,37.8323,Atlantic-Congo,Asu_Tanzania__asut1235,varikin,Asu_Tanzania__asut1235.txt,,NA,,NA
v_atayalatay1247,Atayal,atay1247,Atayal,tay,Papunesia,24.5209,121.388,Austronesian,Atayal_atay1247,varikin,Atayal_atay1247.txt,,NA,,NA
v_atsugewiatsu1245,Atsugewi,atsu1245,Atsugewi,atw,North America,40.4271,-120.661,,Atsugewi_atsu1245,varikin,Atsugewi_atsu1245.txt,,NA,,NA
v_avarancuxancu1238,Ancux,ancu1238,Ancux,,Eurasia,NA,NA,Nakh-Daghestanian,Avar_Ancux__ancu1238,varikin,Avar_Ancux__ancu1238.txt,,NA,,NA
v_avarandalalanda1281,Andalal-Gxdatl,anda1281,Andalal-Gxdatl,,Eurasia,NA,NA,Nakh-Daghestanian,Avar_Andalal__anda1281,varikin,Avar_Andalal__anda1281.txt,,NA,,NA
v_avaravar1256,Avar,avar1256,Avar,ava,Eurasia,41.7047,46.558,Nakh-Daghestanian,Avar_avar1256,varikin,Avar_avar1256.txt,,NA,,NA
v_avarbatluxbatl1238,Batlux,batl1238,Batlux,,Eurasia,NA,NA,Nakh-Daghestanian,Avar_Batlux__batl1238,varikin,Avar_Batlux__batl1238.txt,,NA,,NA
v_avarhiddialecthidd1238,Hid,hidd1238,Hid,,Eurasia,NA,NA,Nakh-Daghestanian,Avar_Hid_dialect__hidd1238,varikin,Avar_Hid_dialect__hidd1238.txt,,NA,,NA
v_avazkhunzakhkunz1243,Kunzakh,kunz1243,Kunzakh,,Eurasia,NA,NA,Nakh-Daghestanian,Avaz_Khunzakh__kunz1243,varikin,Avaz_Khunzakh__kunz1243.txt,,NA,,NA
v_avestanaves1237,Avestan,aves1237,Avestan,ave,Eurasia,31.541,53.633,Indo-European,Avestan_aves1237,varikin,Avestan_aves1237.txt,,NA,,NA
v_ayoreoayor1240,Ayoreo,ayor1240,Ayoreo,ayo,South America,-19.220055,-60.217495,,Ayoreo_ayor1240,varikin,Ayoreo_ayor1240.txt,,NA,,NA
v_aztecclas1250,Classical Nahuatl,clas1250,Classical Nahuatl,nci,North America,19.72,-96.97,Uto-Aztecan,Aztec_clas1250,varikin,Aztec_clas1250.txt,,NA,,NA
v_badimayabadi1246,Badimaya,badi1246,Badimaya,bia,Australia,-29.0647,117.246,Pama-Nyungan,Badimaya_badi1246,varikin,Badimaya_badi1246.txt,,NA,,NA
v_bafiabafi1243,Bafia,bafi1243,Bafia,ksf,Africa,4.72603,11.0982,Atlantic-Congo,Bafia_bafi1243,varikin,Bafia_bafi1243.txt,,NA,,NA
v_bahvalalbagv1239,Bagvalal,bagv1239,Bagvalal,kva,Eurasia,42.3966,46.1041,Nakh-Daghestanian,Bahvalal_bagv1239,varikin,Bahvalal_bagv1239.txt,,NA,,NA
v_balicongobali1274,Bali (Democratic Republic of Congo),bali1274,Bali (Democratic Republic of Congo),bcp,Africa,1.1807,26.5941,Atlantic-Congo,Bali_Congo__bali1274,varikin,Bali_Congo__bali1274.txt,,NA,,NA
v_balidrcbali1275,Bali,bali1275,Ibali Teke,,Africa,NA,NA,Atlantic-Congo,Bali_DRC__bali1275,varikin,Bali_DRC__bali1275.txt,,NA,,NA
v_balochibalo1260,Balochic,balo1260,Balochic,,,NA,NA,Indo-European,Balochi_balo1260,varikin,Balochi_balo1260.txt,,NA,,NA
v_bamunbamu1253,Bamun,bamu1253,Bamun,bax,Africa,5.49017,10.8477,Atlantic-Congo,Bamun_bamu1253,varikin,Bamun_bamu1253.txt,,NA,,NA
v_bandjalangband1339,Bandjalangic,band1339,Bandjalangic,,Australia,-28.3458,152.859,Pama-Nyungan,Bandjalang_band1339,varikin,Bandjalang_band1339.txt,,NA,,NA
v_bannockbann1248,Bannock,bann1248,Bannock,,North America,NA,NA,Uto-Aztecan,Bannock_bann1248,varikin,Bannock_bann1248.txt,,NA,,NA
v_baribari1297,Barí,bari1297,Barí,mot,South America,9.08497,-72.9353,,Bari_bari1297,varikin,Bari_bari1297.txt,,NA,,NA
v_basquebasq1248,Basque,basq1248,Basque,eus,Eurasia,43.2787,-1.31622,,Basque_basq1248,varikin,Basque_basq1248.txt,,NA,,NA
v_basquewest1508,Western Low Navarrese,west1508,Western Low Navarrese,,Eurasia,NA,NA,,Basque_west1508,varikin,Basque_west1508.txt,,NA,,NA
v_batangabata1285,Batanga,bata1285,Batanga,bnm,Africa,1.397041,9.51011,Atlantic-Congo,Batanga_bata1285,varikin,Batanga_bata1285.txt,,NA,,NA
v_batstsovatushbats1242,Bats,bats1242,Bats,bbl,Eurasia,42.1806,45.344,Nakh-Daghestanian,Bats_Tsova_Tush__bats1242,varikin,Bats_Tsova_Tush__bats1242.txt,,NA,,NA
v_baurebaur1253,Baure,baur1253,Baure,brg,South America,-13.1278,-64.1838,Arawakan,Baure_baur1253,varikin,Baure_baur1253.txt,,NA,,NA
v_belarusianbela1254,Belarusian,bela1254,Belarusian,bel,Eurasia,53.2307,25.6038,Indo-European,Belarusian_bela1254,varikin,Belarusian_bela1254.txt,,NA,,NA
v_bembabemb1257,Bemba (Zambia),bemb1257,Bemba (Zambia),bem,Africa,-10.6122,29.2993,Atlantic-Congo,Bemba_bemb1257,varikin,Bemba_bemb1257.txt,,NA,,NA
v_benatanzaniabena1262,Bena (Tanzania),bena1262,Bena (Tanzania),bez,Africa,-9.26671,35.0364,Atlantic-Congo,Bena_Tanzania__bena1262,varikin,Bena_Tanzania__bena1262.txt,,NA,,NA
v_bendebend1258,Bende,bend1258,Bende,bdp,Africa,-6.22082,30.5926,Atlantic-Congo,Bende_bend1258,varikin,Bende_bend1258.txt,,NA,,NA
v_bengalibeng1280,Bengali,beng1280,Bengali,ben,Eurasia,24,90,Indo-European,Bengali_beng1280,varikin,Bengali_beng1280.txt,,NA,,NA
v_berabera1259,Bera,bera1259,Bera,brf,Africa,1.50054,30.0293,Atlantic-Congo,Bera_bera1259,varikin,Bera_bera1259.txt,,NA,,NA
v_bezhtabezh1248,Bezhta,bezh1248,Bezhta,kap,Eurasia,42.1206,46.0332,Nakh-Daghestanian,Bezhta_bezh1248,varikin,Bezhta_bezh1248.txt,,NA,,NA
v_biharibiha1245,Bihari,biha1245,Bihari,,,NA,NA,Indo-European,Bihari_biha1245,varikin,Bihari_biha1245.txt,,NA,,NA
v_bilabila1255,Bila,bila1255,Bila,bip,Africa,1.16839,28.7626,Atlantic-Congo,Bila_bila1255,varikin,Bila_bila1255.txt,,NA,,NA
v_bindalbind1236,Bindal-Mount Elliot,bind1236,Bindal-Mount Elliot,,Australia,-19.409007,147.002766,Pama-Nyungan,Bindal_bind1236,varikin,Bindal_bind1236.txt,,NA,,NA
v_birhorbirh1242,Birhor,birh1242,Birhor,biy,Eurasia,23.585,85.5611,Austroasiatic,Birhor_birh1242,varikin,Birhor_birh1242.txt,,NA,,NA
v_biribiri1256,Biri,biri1256,Biri,bzr,Australia,-20.1494,146.67,Pama-Nyungan,Biri_biri1256,varikin,Biri_biri1256.txt,,NA,,NA
v_bitbitt1240,Bit,bitt1240,Bit,bgk,Eurasia,21.3474,101.916,Austroasiatic,Bit_bitt1240,varikin,Bit_bitt1240.txt,,NA,,NA
v_boersafri1274,Afrikaans,afri1274,Afrikaans,afr,Africa,-22,30,Indo-European,Boers_afri1274,varikin,Boers_afri1274.txt,,NA,,NA
v_bretonbret1244,Breton,bret1244,Breton,bre,Eurasia,48.2452,-3.78934,Indo-European,Breton_bret1244,varikin,Breton_bret1244.txt,,NA,,NA
v_budukhbudu1248,Budukh,budu1248,Budukh,bdk,Eurasia,41.2272,48.3353,Nakh-Daghestanian,Budukh_budu1248,varikin,Budukh_budu1248.txt,,NA,,NA
v_budzabudz1238,Budza,budz1238,Budza,bja,Africa,2.19951,22.6107,Atlantic-Congo,Budza_budz1238,varikin,Budza_budz1238.txt,,NA,,NA
v_bukusubuku1249,Bukusu,buku1249,Bukusu,bxk,Africa,0.68043,34.7719,Atlantic-Congo,Bukusu_buku1249,varikin,Bukusu_buku1249.txt,,NA,,NA
v_bulgarianbulg1262,Bulgarian,bulg1262,Bulgarian,bul,Eurasia,43.3646,25.047,Indo-European,Bulgarian_bulg1262,varikin,Bulgarian_bulg1262.txt,,NA,,NA
v_bununbunu1267,Bunun,bunu1267,Bunun,bnn,Papunesia,23.4116,121.025,Austronesian,Bunun_bunu1267,varikin,Bunun_bunu1267.txt,,NA,,NA
v_burmesenucl1310,Burmese,nucl1310,Burmese,mya,Eurasia,20.7926,93.9665,Sino-Tibetan,Burmese_nucl1310,varikin,Burmese_nucl1310.txt,,NA,,NA
v_bushoongbush1247,Bushoong,bush1247,Bushoong,buf,Africa,-4.69463,21.4556,Atlantic-Congo,Bushoong_bush1247,varikin,Bushoong_bush1247.txt,,NA,,NA
v_bwaidogabwai1243,Bwaidoga,bwai1243,Bwaidoga,,Papunesia,NA,NA,Austronesian,Bwaidoga_bwai1243,varikin,Bwaidoga_bwai1243.txt,,NA,,NA
v_cahuillacahu1264,Cahuilla,cahu1264,Cahuilla,chl,North America,33.5324,-116.691,Uto-Aztecan,Cahuilla_cahu1264,varikin,Cahuilla_cahu1264.txt,,NA,,NA
v_carnicobaresecarn1240,Car Nicobarese,carn1240,Car Nicobarese,caq,Eurasia,9.18853,92.7671,Austroasiatic,Car_Nicobarese_carn1240,varikin,Car_Nicobarese_carn1240.txt,,NA,,NA
v_carolinianscaro1242,Carolinian,caro1242,Carolinian,cal,Papunesia,15.205,145.765,Austronesian,Carolinians_caro1242,varikin,Carolinians_caro1242.txt,,NA,,NA
v_cayubabacayu1262,Cayubaba,cayu1262,Cayubaba,cyb,South America,-13.2482,-65.4822,,Cayubaba_cayu1262,varikin,Cayubaba_cayu1262.txt,,NA,,NA
v_centralaymaracent2142,Central Aymara,cent2142,Central Aymara,ayr,South America,-17,-68.5,,Central_Aymara_cent2142,varikin,Central_Aymara_cent2142.txt,,NA,,NA
v_centralkurdishcent1972,Central Kurdish,cent1972,Central Kurdish,ckb,Eurasia,35.6539,45.8077,Indo-European,Central_Kurdish_cent1972,varikin,Central_Kurdish_cent1972.txt,,NA,,NA
v_chamalalcham1309,Chamalal,cham1309,Chamalal,cji,Eurasia,42.5024,45.995,Nakh-Daghestanian,Chamalal_cham1309,varikin,Chamalal_cham1309.txt,,NA,,NA
v_chamalalgigatligiga1238,Gigatl,giga1238,Gigatl,,Eurasia,NA,NA,Nakh-Daghestanian,Chamalal_Gigatli__giga1238,varikin,Chamalal_Gigatli__giga1238.txt,,NA,,NA
v_chapalaachac1249,Cha'palaa,chac1249,Cha'palaa,cbi,South America,0.71489,-79.0508,,Cha_palaa_chac1249,varikin,Cha_palaa_chac1249.txt,,NA,,NA
v_chemehuevichem1251,Chemehuevi,chem1251,Chemehuevi,,North America,35.356093,-116.438436,Uto-Aztecan,Chemehuevi_chem1251,varikin,Chemehuevi_chem1251.txt,,NA,,NA
v_chenchuchen1255,Chenchu,chen1255,Chenchu,cde,Eurasia,15.8787,79.2534,Dravidian,Chenchu_chen1255,varikin,Chenchu_chen1255.txt,,NA,,NA
v_chimarikochim1301,Chimariko,chim1301,Chimariko,cid,North America,41,-123,,Chimariko_chim1301,varikin,Chimariko_chim1301.txt,,NA,,NA
v_chipayachip1262,Chipaya,chip1262,Chipaya,cap,South America,-18.73951,-67.89633,,Chipaya_chip1262,varikin,Chipaya_chip1262.txt,,NA,,NA
v_chiricahuamesc1238,Mescalero-Chiricahua Apache,mesc1238,Mescalero-Chiricahua Apache,apm,North America,33.1291,-105.566,,Chiricahua_mesc1238,varikin,Chiricahua_mesc1238.txt,,NA,,NA
v_chokwechok1245,Chokwe,chok1245,Chokwe,cjk,Africa,-9.66082,21.3992,Atlantic-Congo,Chokwe_chok1245,varikin,Chokwe_chok1245.txt,,NA,,NA
v_coastalyukiyuki1243b,Northern Yukian,yuki1243,Northern Yukian,yuk,North America,39.8389,-123.296,,Coastal_Yuki_yuki1243b,varikin,Coastal_Yuki_yuki1243b.txt,,NA,,NA
v_cocopacoco1261,Cocopa,coco1261,Cocopa,coc,North America,32.376,-114.848,,Cocopa_coco1261,varikin,Cocopa_coco1261.txt,,NA,,NA
v_cofancofa1242,Cofán,cofa1242,Cofán,con,South America,0.276675,-77.0643,,Cofan_cofa1242,varikin,Cofan_cofa1242.txt,,NA,,NA
v_colloquialmalaymala1479,Colloquial Malay,mala1479,Colloquial Malay,zlm,Eurasia,1.85856,103,Austronesian,Colloquial_Malay_mala1479,varikin,Colloquial_Malay_mala1479.txt,,NA,,NA
v_coloradouteutee1244a,Ute,utee1244,Ute,,North America,38,-109,Uto-Aztecan,Colorado_Ute_utee1244a,varikin,Colorado_Ute_utee1244a.txt,,NA,,NA
v_comanchecoma1245,Comanche,coma1245,Comanche,com,North America,34,-101,Uto-Aztecan,Comanche_coma1245,varikin,Comanche_coma1245.txt,,NA,,NA
v_coraelna1235,El Nayar Cora,elna1235,El Nayar Cora,crn,North America,22.4099,-104.467,Uto-Aztecan,Cora_elna1235,varikin,Cora_elna1235.txt,,NA,,NA
v_cornishcorn1251,Cornish,corn1251,Cornish,cor,Eurasia,50.5233,-4.18619,Indo-European,Cornish_corn1251,varikin,Cornish_corn1251.txt,,NA,,NA
v_cruzenocruz1243,Cruzeño,cruz1243,Cruzeño,crz,North America,34.0465,-119.864,,Cruzeño_cruz1243,varikin,Cruzeño_cruz1243.txt,,NA,,NA
v_cubeocube1242,Cubeo,cube1242,Cubeo,cub,South America,1.32382,-70.1939,,Cubeo_cube1242,varikin,Cubeo_cube1242.txt,,NA,,NA
v_cupenocupe1243,Cupeño,cupe1243,Cupeño,cup,North America,33.3148,-116.515,Uto-Aztecan,Cupeño_cupe1243,varikin,Cupeño_cupe1243.txt,,NA,,NA
v_cuscoquechuacusc1236,Cusco Quechua,cusc1236,Cusco Quechua,quz,South America,-14.0853,-71.7663,,Cusco_Quechua_cusc1236,varikin,Cusco_Quechua_cusc1236.txt,,NA,,NA
v_czechczec1258,Czech,czec1258,Czech,ces,Eurasia,49.873398,15.10437,Indo-European,Czech_czec1258,varikin,Czech_czec1258.txt,,NA,,NA
v_dandamimariadand1238,Dandami Maria,dand1238,Dandami Maria,daq,Eurasia,18.7475,81.3598,Dravidian,Dandami_Maria_dand1238,varikin,Dandami_Maria_dand1238.txt,,NA,,NA
v_danishdani1285,Danish,dani1285,Danish,dan,Eurasia,54.8655,9.36284,Indo-European,Danish_dani1285,varikin,Danish_dani1285.txt,,NA,,NA
v_dargwachiragchir1284,Chirag,chir1284,Chirag,,Eurasia,41.869481,47.41111,Nakh-Daghestanian,Dargwa_Chirag__chir1284,varikin,Dargwa_Chirag__chir1284.txt,,NA,,NA
v_dargwaitsariitsa1239,Icari,icar1234,Icari,,Eurasia,NA,NA,Nakh-Daghestanian,Dargwa_Itsari__itsa1239,varikin,Dargwa_Itsari__itsa1239.txt,,NA,,NA
v_daridari1249,Dari,dari1249,Dari,prs,Eurasia,31.0405,67.3593,Indo-European,Dari_dari1249,varikin,Dari_dari1249.txt,,NA,,NA
v_degexitandege1248,Degexit'an,dege1248,Degexit'an,ing,North America,62.0697,-160.044,,Degexit_an_dege1248,varikin,Degexit_an_dege1248.txt,,NA,,NA
v_delinenort2942,North Slavey,nort2942,North Slavey,scs,North America,63.2671,-123.641,,Délįne_nort2942,varikin,Délįne_nort2942.txt,,NA,,NA
v_denesulinechip1261,Chipewyan,chip1261,Chipewyan,chp,North America,58.98,-104.44,,Dene_Suliné_chip1261,varikin,Dene_Suliné_chip1261.txt,,NA,,NA
v_denethasouthslaveysout2959,South Slavey,sout2959,South Slavey,xsl,North America,59.8794,-117.047,,DeneTha_South_Slavey__sout2959,varikin,DeneTha_South_Slavey__sout2959.txt,,NA,,NA
v_dharumbaldhar1248,Dharumbal,dhar1248,Dharumbal,xgm,Australia,-23.307,150.593,Pama-Nyungan,Dharumbal_dhar1248,varikin,Dharumbal_dhar1248.txt,,NA,,NA
v_dhuwaldhuw1249,Dhuwal,dhuw1249,Dhuwal,duj,Australia,-12.7825,136.008,Pama-Nyungan,Dhuwal_dhuw1249,varikin,Dhuwal_dhuw1249.txt,,NA,,NA
v_digodigo1243,Digo,digo1243,Digo,dig,Africa,-4.62101,39.1752,Atlantic-Congo,Digo_digo1243,varikin,Digo_digo1243.txt,,NA,,NA
v_dingding1239,Ding,ding1239,Ding,diz,Africa,-4.44304,19.3881,Atlantic-Congo,Ding_ding1239,varikin,Ding_ding1239.txt,,NA,,NA
v_diyaridier1241,Dieri,dier1241,Dieri,dif,Australia,-28.1667,138,Pama-Nyungan,Diyari_dier1241,varikin,Diyari_dier1241.txt,,NA,,NA
v_djambarrpuyngudjam1256,Djambarrpuyngu,djam1256,Djambarrpuyngu,djr,Australia,-12.021,135.59,Pama-Nyungan,Djambarrpuyngu_djam1256,varikin,Djambarrpuyngu_djam1256.txt,,NA,,NA
v_djinangdjin1253,Djinang,djin1253,Djinang,dji,Australia,-12.462,134.82,Pama-Nyungan,Djinang_djin1253,varikin,Djinang_djin1253.txt,,NA,,NA
v_dogribdogr1252,Dogrib,dogr1252,Dogrib,dgr,North America,62.3823,-114.193,,Dogrib_dogr1252,varikin,Dogrib_dogr1252.txt,,NA,,NA
v_dualadual1243,Duala,dual1243,Duala,dua,Africa,4.10208,9.61877,Atlantic-Congo,Duala_dual1243,varikin,Duala_dual1243.txt,,NA,,NA
v_dumaduma1253,Duma,duma1253,Duma,dma,Africa,-0.91927,13.0046,Atlantic-Congo,Duma_duma1253,varikin,Duma_duma1253.txt,,NA,,NA
v_dutchdutc1256,Dutch,dutc1256,Dutch,nld,Eurasia,52,5,Indo-European,Dutch_dutc1256,varikin,Dutch_dutc1256.txt,,NA,,NA
v_dyirbaldyir1250,Dyirbal,dyir1250,Dyirbal,dbl,Australia,-17.4516,145.544,Pama-Nyungan,Dyirbal_dyir1250,varikin,Dyirbal_dyir1250.txt,,NA,,NA
v_easterislandersrapa1244,Rapanui,rapa1244,Rapanui,rap,Papunesia,-27.113,-109.342,Austronesian,Easter_Islanders_rapa1244,varikin,Easter_Islanders_rapa1244.txt,,NA,,NA
v_easternarmenianeast2283,Eastern Armenian,nucl1235,Eastern Armenian,hye,Eurasia,40,45,Indo-European,Eastern_Armenian_east2283,varikin,Eastern_Armenian_east2283.txt,,NA,,NA
v_easternpaharinepalieast1436,Eastern Pahari,east1436,Eastern Pahari,nep,Eurasia,27.59470333,87.62008333,Indo-European,Eastern_Pahari_Nepali__east1436,varikin,Eastern_Pahari_Nepali__east1436.txt,,NA,,NA
v_easternyiddisheast2295,Eastern Yiddish,east2295,Eastern Yiddish,ydd,Eurasia,51.75,19.42,Indo-European,Eastern_Yiddish_east2295,varikin,Eastern_Yiddish_east2295.txt,,NA,,NA
v_ekondamongoekon1238,Ekonda Mongo,ekon1238,Ekonda Mongo,,Africa,NA,NA,Atlantic-Congo,Ekonda_Mongo_ekon1238,varikin,Ekonda_Mongo_ekon1238.txt,,NA,,NA
v_elamiteelam1244,Elamite,elam1244,Elamite,elx,Eurasia,31.1833,48.2333,,Elamite_elam1244,varikin,Elamite_elam1244.txt,,NA,,NA
v_ellicetuva1244,Tuvalu,tuva1244,Tuvalu,tvl,Papunesia,-8.520813,179.198088,Austronesian,Ellice_tuva1244,varikin,Ellice_tuva1244.txt,,NA,,NA
v_epenaepen1239,Epena,epen1239,Epena,sja,South America,4.25877,-77.3566,,Epena_epen1239,varikin,Epena_epen1239.txt,,NA,,NA
v_erzyaerzy1239,Erzya,erzy1239,Erzya,myv,Eurasia,52.8548,45.3901,Uralic,Erzya_erzy1239,varikin,Erzya_erzy1239.txt,,NA,,NA
v_estonianesto1258,Estonian,esto1258,Estonian,ekk,Eurasia,58.55,25.82,Uralic,Estonian_esto1258,varikin,Estonian_esto1258.txt,,NA,,NA
v_eudeveeude1234,Eudeve,eude1234,Eudeve,,North America,28.5,-110,Uto-Aztecan,Eudeve_eude1234,varikin,Eudeve_eude1234.txt,,NA,,NA
v_eyakeyak1241,Eyak,eyak1241,Eyak,eya,North America,60.4232,-144.762,,Eyak_eyak1241,varikin,Eyak_eyak1241.txt,,NA,,NA
v_fangegfang1246,Fang (Equatorial Guinea),fang1246,Fang (Equatorial Guinea),fan,Africa,1.723965,11.61454,Atlantic-Congo,Fang_EG_fang1246,varikin,Fang_EG_fang1246.txt,,NA,,NA
v_fefefefe1239,Fe'fe',fefe1239,Fe'fe',fmp,Africa,5.18158,10.1442,Atlantic-Congo,Fefe_fefe1239,varikin,Fefe_fefe1239.txt,,NA,,NA
v_finnicfinn1318,Finnish,finn1318,Finnish,fin,Eurasia,64.7628,25.5577,Uralic,Finnic_finn1318,varikin,Finnic_finn1318.txt,,NA,,NA
v_fipafipa1238,Fipa,fipa1238,Fipa,fip,Africa,-7.88963,31.3442,Atlantic-Congo,Fipa_fipa1238,varikin,Fipa_fipa1238.txt,,NA,,NA
v_flindersislandflin1247,Flinders Island,flin1247,Flinders Island,fln,Australia,-14.1812,144.259,Pama-Nyungan,FlindersIsland_flin1247,varikin,FlindersIsland_flin1247.txt,,NA,,NA
v_frisianfris1239,Frisian,fris1239,Frisian,,,NA,NA,Indo-European,Frisian_fris1239,varikin,Frisian_fris1239.txt,,NA,,NA
v_futunanseast2447,East Futuna,east2447,East Futuna,fud,Papunesia,-14.278717,-178.137222,Austronesian,Futunans_east2447,varikin,Futunans_east2447.txt,,NA,,NA
v_gabrielinotong1329,Tongva,tong1329,Tongva,xgf,North America,34.1,-118.11,Uto-Aztecan,Gabrielino_tong1329,varikin,Gabrielino_tong1329.txt,,NA,,NA
v_gandagand1255,Ganda,gand1255,Ganda,lug,Africa,0.66884,32.15153,Atlantic-Congo,Ganda_gand1255,varikin,Ganda_gand1255.txt,,NA,,NA
v_giryamagiry1241,Giryama,giry1241,Giryama,nyf,Africa,-3.30638,39.6648,Atlantic-Congo,Giryama_giry1241,varikin,Giryama_giry1241.txt,,NA,,NA
v_godoberighod1238,Godoberi,ghod1238,Godoberi,gdo,Eurasia,42.7428,46.2252,Nakh-Daghestanian,Godoberi_ghod1238,varikin,Godoberi_ghod1238.txt,,NA,,NA
v_gogogogo1263,Gogo,gogo1263,Gogo,gog,Africa,-6.35951,35.4807,Atlantic-Congo,Gogo_gogo1263,varikin,Gogo_gogo1263.txt,,NA,,NA
